callerIpAddress,city,state,OfficeProvider
73.185.147.132,Eden Prairie,Minnesota,MSFT Eden Prairie
74.127.140.40,Waubun,Minnesota,Xfinity
52.14.19.12,Columbus,Ohio,MSFT Columbus
3.144.187.249,Eden Prairie,Minnesota,Xfinity
75.73.156.138,Eden Prairie,Minnesota,Att
20.98.130.20,Des Moines,Iowa,MSFT Des Moines
98.144.242.145,South Milwaukee,Wisconsin,Xfinity
98.63.225.36,,,Unkown
13.86.106.112,Des Moines,Iowa,Xfinity
157.58.213.204,Cheyenne,Wyoming,Xfinity
157.58.213.76,Cheyenne,Wyoming,Xfinity
157.58.213.203,Cheyenne,Wyoming,Xfinity
3.143.172.71,Columbus,Ohio,Xfinity
18.216.145.247,Minneapolis,Minnesota,Xfinity
13.86.106.78,Des Moines,Iowa,Xfinity
13.86.105.212,Des Moines,Iowa,Xfinity
73.185.146.216,Eden Prairie,Minnesota,Xfinity
167.220.149.14,Bristow,Virginia,Xfinity
167.220.26.13,Santa Clara,California,Xfinity
157.58.213.75,Cheyenne,Wyoming,MSFT Wyoming
157.58.213.211,Cheyenne,Wyoming,Xfinity
157.58.213.213,Cheyenne,Wyoming,Xfinity
157.58.213.196,Cheyenne,Wyoming,Xfinity
157.58.213.205,Cheyenne,Wyoming,Xfinity
40.77.56.189,Des Moines,Iowa,Tmobile
157.58.213.77,Cheyenne,Wyoming,Xfinity
157.58.213.200,Cheyenne,Wyoming,Xfinity
65.132.174.141,Saint Paul,Minnesota,Xfinity
99.196.128.14,Denver,Colorado,MSFT Denver
67.220.20.156,Minneapolis,Minnesota,Xfinity
68.110.95.129,Tempe,Arizona,MSFT Tempe
13.86.105.236,Des Moines,Iowa,Xfinity
